CG8924 CG4854
CG8924 wek
CG8924 CG8359
CG8924 tgo
CG8924 CG11696
CG8924 CG14710
CG8924 ash1
CG8924 pzg
CG8924 chm
CG8924 CG17359
CG8924 CG10321
CG8924 Su(var)2-HP2
CG8924 CG12942
CG8924 E(var)3-9
CG8924 HmgD
CG8924 Bap170
CG8924 su(Hw)
CG8924 CG12391
CG8924 CG1832
CG8924 phol
CG8924 Adf1
CG8924 Jarid2
CG8924 CG5245
CG8924 CG11970
CG8924 wdn
CG8924 CG10366
CG8924 CG17385
CG8924 CG10274
CG8924 CG1024
CG8924 CG6791
CG8924 CG12299
CG8924 CG7372
CG8924 Cenp-C
CG8924 YL-1
CG8924 mxc
CG8924 CG3847
CG8924 hang
CG8924 CG15436
CG8924 CG11560
CG8924 Su(var)3-7
CG8924 Hmr
CG8924 CG9883
CG8924 Bgb
CG8924 D19B
CG8924 CG6654
CG8924 CG31365
CG8924 Ada2b
CG8924 CG1603
CG8924 pfk
CG8924 CG3407
CG8924 CG4730
CG8924 stwl
CG8924 CG12155
CG8924 CG12659
CG8924 zf30C
CG8924 CG7839
CG8924 CG4617
CG8924 Sry-delta
CG8924 BEAF-32
CG8924 CG17153
CG8924 D1
CG8924 CG30020
CG8924 dalao
CG8924 CG2199
CG8924 CG3227
CG8924 da
CG8924 CG11504
CG8924 CG15514
CG8924 Dref
CG8924 cg
CG8924 jigr1
CG8924 CG9705
CG8924 Sry-beta
CG8924 CG15601
CG8924 CG1602
CG8924 CG17912
CG8924 TFAM
CG8924 pita
CG8924 CG9948
CG8924 CG17328
CG8924 CG3281
CG8924 Nf-YB
CG8924 her
CG8924 Mes2
CG8924 CG1647
CG8924 CG4282
CG8924 Chrac-16
CG8924 CG5180
CG8924 CG4360
ush tgo
ush pnr
ush Dsp1
ush srp
ush aop
pfk Mad
pfk chif
pfk tgo
pfk CG8478
pfk Lhr
pfk Su(H)
pfk Myb
pfk CG7357
pfk CG1529
pfk CG7928
pfk row
pfk CG8944
pfk CG17361
pfk CG10267
pfk CG10904
pfk grau
pfk CG11504
pfk CG8290
pfk Meics
pfk polybromo
pfk Taf1
pfk gfzf
pfk her
pfk CG8924
pfk aop
pfk Dp
pfk CG4854
pfk CG12155
pfk chm
pfk Su(var)2-HP2
pfk E(var)3-9
pfk HmgD
pfk Bap170
pfk su(Hw)
pfk CG12391
pfk NC2beta
pfk phol
pfk CG3065
pfk Adf1
pfk Jarid2
pfk CG3163
pfk CG17385
pfk dwg
pfk CG6791
pfk CG12299
pfk CG1603
pfk CG7372
pfk YL-1
pfk CG2875
pfk Su(var)3-7
pfk CG6654
pfk CG31365
pfk Dsp1
pfk Ada2b
pfk D1
